time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,quad_fem_r,obt_internus1_r,obt_internus2_r,obt_internus3_r,obt_externus1_r,obt_externus2_r,obt_externus3_r,gemelli_sup_r,gemelli_inf_r,pect_r,quad_fem_l,obt_internus1_l,obt_internus2_l,obt_internus3_l,obt_externus1_l,obt_externus2_l,obt_externus3_l,gemelli_sup_l,gemelli_inf_l,pect_l,
0.175,0.145696,0.0919391,0.00477357,0.0292923,0.0228289,0.16494,0.176989,0.176982,0.361994,0.394366,0.082828,0.0496079,0.000267928,0.000620419,0.0862485,0.0786164,0.0719316,0.00368466,0.0815048,0.0485895,0.0196642,0.0837358,0.388595,0.0340625,0.0149907,0.0700172,0.0509252,0.152792,0.150156,0.0194317,0.0211649,0.178077,0.176983,0.000748898,0.0211728,0.419278,0.0146695,0.0318843,0.0945997,0.0945958,0.0212231,0.0555661,0.0210437,0.0485133,0.0488421,0.0455277,0.024464,0.0272892,0.0540349,0.072282,0.111823,0.0927403,0.0731953,0.0637874,0.0406745,0.0407669,0.0354983,0.108064,0.0476462,0.0343336,0.120388,0.0716973,0.109958,0.0829635,0.0570787,0.1087,0.0546317,0.0817254,0.0199045,0.00706089,0.00706089,0.0318996,0.0309503,0.0637911,0.00706148,0.0808887,0.10663,0.0497877,0.0155261,0.0155514,0.080459,0.114848,0.285155,0.11963,0.382019,0.37374,0.338243,0.0961283,0.233999,0.165171,0.149404,0.0527989,0.0978929,0.111054,0.0463126,0.0886802,0.0446116,0.0675659,0.0694106,0.0390901,
0.18,0.157041,0.101607,0.00492149,0.0316027,0.025897,0.178821,0.180749,0.180743,0.383099,0.416617,0.0871759,0.0519623,0.000364612,0.00130611,0.0905588,0.0823459,0.0764012,0.0036092,0.0882037,0.0545305,0.0199777,0.0846017,0.402739,0.0405232,0.0305408,0.0750732,0.0541614,0.162857,0.167257,0.0210018,0.022936,0.181871,0.180744,0.00105909,0.0229453,0.44149,0.0165246,0.0385263,0.102449,0.102446,0.0216767,0.061079,0.0231012,0.0515704,0.0503809,0.0472834,0.0421863,0.0453496,0.0586025,0.0761901,0.120131,0.100629,0.078314,0.0704082,0.0418837,0.0421304,0.0374026,0.121657,0.0524125,0.0386054,0.130495,0.0981168,0.118151,0.0875045,0.0625239,0.116614,0.0603804,0.0912113,0.0213643,0.00786436,0.00786436,0.0490623,0.0480162,0.0678468,0.00786499,0.0863214,0.114888,0.058269,0.016475,0.0165183,0.0885654,0.126013,0.327477,0.128063,0.410988,0.402916,0.364768,0.111743,0.254772,0.182923,0.154494,0.0613277,0.103426,0.120111,0.0525661,0.0952941,0.0522278,0.074921,0.0741384,0.0428219,
0.185,0.222591,0.145652,0.00670473,0.043836,0.037269,0.255233,0.249308,0.249301,0.539132,0.58546,0.121245,0.0710381,0.000680399,0.0017873,0.126165,0.114657,0.10634,0.00489683,0.126179,0.0790538,0.027658,0.116424,0.562947,0.0566523,0.0420604,0.103401,0.0760345,0.229731,0.230558,0.0293937,0.0321871,0.250857,0.249302,0.00183066,0.0322008,0.619193,0.0228313,0.0542673,0.145236,0.145232,0.0316881,0.0872842,0.0324925,0.071841,0.0698854,0.0675709,0.0595187,0.0651115,0.0822012,0.105962,0.16744,0.140447,0.10975,0.0985333,0.0573135,0.0579965,0.0518897,0.169864,0.0734674,0.0548586,0.182174,0.135087,0.164442,0.122668,0.0886153,0.161935,0.0846738,0.126063,0.0298179,0.0110883,0.0110883,0.0686655,0.067094,0.0945906,0.0110892,0.120526,0.160499,0.0804522,0.0226615,0.0226618,0.126202,0.176382,0.463245,0.177756,0.574124,0.566147,0.509837,0.15736,0.359406,0.26077,0.21524,0.0842642,0.14132,0.163311,0.0751553,0.132835,0.0750707,0.101839,0.101857,0.0618052,
0.19,0.222453,0.14661,0.00667378,0.043303,0.0379507,0.254929,0.246021,0.246015,0.535334,0.580651,0.120852,0.0702091,0.000694176,0.00218412,0.125174,0.113594,0.105967,0.00477128,0.125406,0.0791245,0.0271955,0.114312,0.55684,0.0584999,0.0457156,0.103621,0.0759338,0.228243,0.231694,0.0293811,0.0321811,0.247548,0.246016,0.0019227,0.0321951,0.614555,0.0233001,0.0555568,0.145186,0.145183,0.0317743,0.0884451,0.0326535,0.0714166,0.0693208,0.0669068,0.0622711,0.0679224,0.0813266,0.104438,0.16676,0.140211,0.108314,0.0987071,0.0562363,0.0569548,0.0511429,0.173584,0.0737806,0.0549197,0.182656,0.13962,0.163861,0.121627,0.0886156,0.161479,0.0852672,0.126765,0.030058,0.0111187,0.0111187,0.0710355,0.0694833,0.0939894,0.0111195,0.119731,0.159927,0.0827998,0.0224261,0.0224354,0.127582,0.177096,0.469004,0.177527,0.573086,0.56725,0.510213,0.161367,0.360894,0.261576,0.212867,0.0851826,0.13925,0.160105,0.0763669,0.133363,0.0771283,0.100819,0.1017,0.0628267,
0.195,0.229457,0.15461,0.00576043,0.0386468,0.0388526,0.273751,0.219106,0.219099,0.533274,0.57517,0.114462,0.0695558,0.00181708,0.00110977,0.139874,0.130623,0.121172,0.00416408,0.134212,0.0828187,0.0249123,0.112405,0.553993,0.0611649,0.0346738,0.100139,0.0725862,0.215159,0.200162,0.0289261,0.0321463,0.220526,0.2191,0.00526406,0.0321627,0.605396,0.0252345,0.0527761,0.150226,0.150225,0.0267471,0.0840015,0.026663,0.0603159,0.0608698,0.0607184,0.0461008,0.0499742,0.0843672,0.105425,0.159293,0.134077,0.111245,0.0966051,0.0557797,0.0564736,0.0508825,0.148339,0.0636427,0.053435,0.170104,0.113797,0.154328,0.11243,0.122278,0.15173,0.0856531,0.110966,0.0581689,0.0125243,0.0125243,0.0537912,0.0518303,0.0901404,0.0125251,0.114646,0.153828,0.0726498,0.0218017,0.0218201,0.122493,0.168526,0.473393,0.166929,0.54072,0.541223,0.484469,0.143667,0.358132,0.280897,0.199253,0.0896354,0.137198,0.158234,0.0893865,0.138782,0.0927282,0.0954705,0.101697,0.0628701,
0.2,0.225803,0.15653,0.00517095,0.0345016,0.0394607,0.277101,0.190498,0.190492,0.503103,0.538754,0.109708,0.0692006,0.00389957,0.00122364,0.16313,0.156006,0.147516,0.00361673,0.134563,0.0819056,0.0213923,0.111492,0.536102,0.0687736,0.0403268,0.0987714,0.0705933,0.194504,0.183005,0.0273849,0.030725,0.191789,0.190493,0.0114793,0.0307427,0.566193,0.0314271,0.05247,0.148661,0.148663,0.0234292,0.0798249,0.0220386,0.0506085,0.0519801,0.0531832,0.0449865,0.047396,0.0830396,0.104385,0.15169,0.12893,0.111605,0.0942429,0.0618145,0.0621686,0.0581325,0.134516,0.0559129,0.0525371,0.156802,0.109867,0.145177,0.100753,0.166575,0.141488,0.0862104,0.100353,0.102939,0.0137671,0.0137671,0.0502294,0.0481622,0.0852905,0.0137677,0.107872,0.147531,0.0742477,0.020248,0.020305,0.116221,0.161754,0.488392,0.156779,0.505263,0.509419,0.456125,0.13824,0.346292,0.28788,0.191456,0.102555,0.141692,0.153144,0.112823,0.156102,0.12067,0.0895606,0.11018,0.0671924,
0.205,0.227463,0.161064,0.00487477,0.0320829,0.0404354,0.286086,0.174208,0.174203,0.489169,0.520119,0.110133,0.0713244,0.00630347,0.00109505,0.195257,0.189869,0.181989,0.00340887,0.138101,0.0825301,0.0190282,0.117732,0.542049,0.0767721,0.0440314,0.100517,0.0720049,0.181569,0.17296,0.0264054,0.0298795,0.175441,0.174204,0.0185991,0.0298986,0.546312,0.0388399,0.0522374,0.150784,0.150788,0.0216824,0.0772927,0.0187,0.0442329,0.046148,0.0484442,0.0423803,0.0443343,0.0835145,0.107563,0.149791,0.128387,0.116246,0.0942461,0.0719136,0.0720209,0.0694659,0.125401,0.0508988,0.0535331,0.148519,0.104528,0.14157,0.0938382,0.217878,0.136267,0.088698,0.0929322,0.15424,0.0152114,0.0152114,0.0454421,0.0432483,0.0838522,0.0152118,0.105324,0.146681,0.0782999,0.0190783,0.0191338,0.112676,0.159533,0.512777,0.152213,0.488072,0.494885,0.44285,0.13681,0.343293,0.299628,0.19616,0.117688,0.153555,0.151336,0.140741,0.18089,0.152579,0.0846605,0.124402,0.0741108,
0.21,0.220753,0.157872,0.00470523,0.0295696,0.0391898,0.282729,0.162418,0.162413,0.463282,0.4896,0.109958,0.0726619,0.00856274,0.000714807,0.224737,0.22098,0.213713,0.00342381,0.13586,0.0787391,0.0169698,0.125291,0.542499,0.080709,0.0419323,0.100481,0.0726518,0.165466,0.160882,0.0245431,0.0279333,0.163602,0.162414,0.0252965,0.027952,0.515377,0.0452892,0.0487062,0.147317,0.147323,0.0202748,0.0718054,0.01547,0.038718,0.0412541,0.0436218,0.033701,0.0354922,0.0808461,0.109,0.145268,0.125133,0.11815,0.0910954,0.0825049,0.082276,0.0809328,0.113904,0.0454812,0.0527157,0.137087,0.0903911,0.135768,0.086384,0.262348,0.128882,0.0879568,0.0837248,0.2024,0.0159442,0.0159442,0.0350228,0.0328535,0.0812072,0.0159443,0.101086,0.142932,0.0803743,0.0174408,0.0174797,0.104913,0.152816,0.513525,0.145361,0.461947,0.469144,0.420139,0.130592,0.328698,0.296983,0.202693,0.128295,0.16486,0.145639,0.164011,0.202811,0.178493,0.0768857,0.137671,0.0789316,
0.215,0.226044,0.161641,0.00509536,0.0335094,0.0403943,0.290255,0.170921,0.170916,0.469346,0.494048,0.134666,0.0955338,0.0258943,0.0145897,0.259163,0.255783,0.249265,0.0239021,0.157726,0.0966845,0.0366714,0.158843,0.594427,0.0900116,0.0441867,0.125963,0.0971672,0.177257,0.168472,0.0250599,0.0284358,0.172097,0.170917,0.0452699,0.0284547,0.522735,0.0694427,0.0491264,0.151999,0.152005,0.0231601,0.0764042,0.0153245,0.0402207,0.0432163,0.0472624,0.0308546,0.0346172,0.0830729,0.119057,0.155317,0.134914,0.12742,0.0959876,0.0966324,0.0964415,0.0959369,0.119235,0.0469035,0.0561051,0.139606,0.0878611,0.144811,0.0911762,0.306916,0.136379,0.0949857,0.0851055,0.2509,0.0187515,0.0187515,0.0312175,0.0291516,0.0858606,0.0187514,0.106949,0.152926,0.0911173,0.0214246,0.0214247,0.105578,0.157846,0.541088,0.151141,0.478342,0.483976,0.435375,0.141635,0.337422,0.305641,0.242151,0.155331,0.197971,0.157019,0.204273,0.246544,0.224014,0.0795005,0.177408,0.0942027,
0.22,0.235445,0.169359,0.0057607,0.0364244,0.0439168,0.302077,0.181814,0.18181,0.484084,0.50901,0.153958,0.112967,0.0383665,0.0250739,0.275074,0.271469,0.264395,0.0386319,0.176637,0.111858,0.0518943,0.181706,0.645321,0.0948866,0.0340799,0.143989,0.115651,0.192784,0.170541,0.0261112,0.0294974,0.183011,0.18181,0.0590758,0.0295159,0.540552,0.0857162,0.0481905,0.156171,0.156176,0.0361054,0.0890283,0.0158792,0.041739,0.0473961,0.0599839,0.0194866,0.0242594,0.085256,0.126512,0.16329,0.141857,0.132561,0.0988799,0.110133,0.109677,0.10913,0.119683,0.0475308,0.0570371,0.142073,0.0709873,0.152287,0.0982325,0.327036,0.142652,0.0993176,0.0842593,0.273751,0.0207335,0.0207335,0.0204156,0.0183745,0.0898712,0.0207334,0.111947,0.160796,0.0935896,0.0252813,0.0252264,0.112659,0.164573,0.548806,0.157251,0.495997,0.502378,0.452232,0.143204,0.344824,0.312317,0.274748,0.167958,0.216332,0.164504,0.230198,0.275134,0.253647,0.0809777,0.200123,0.111653,
